nombre;lat;lon;msnm;url
puerto vargas;09°43'54'';-82°48'54'';10;https://www.imn.ac.cr/especial/estacionPtovargas.html
aromal;10°23'42'';-85°19'28'';18;https://www.imn.ac.cr/especial/estacionNegritos.html
braulio carrillo;10°10'33.4'';-83°55'4.5'';516;https://www.imn.ac.cr/especial/estacionRainforest.html
la garita;10°00'19'';-84°17'45'';740;https://www.imn.ac.cr/especial/estacionGarita.html
cipanci;10°12'43'';-85°14'4'';5;https://www.imn.ac.cr/especial/estacionCipanci.html
greg gund;08°24'40.4'';-83°19'13.6'';235;https://www.imn.ac.cr/especial/estacionGreggund.html
rio claro;08°40'26.6'';-83°03'43.4'';31;https://www.imn.ac.cr/especial/estacionRioclaro.html
canalete upala rio nivel;;;;https://www.imn.ac.cr/especial/estacionCanalete.html
san george;10°43'25.5'';-84°40'30.4'';77;https://www.imn.ac.cr/especial/estacionSanjorge.html
san gerardo;10°24'57.4'';-84°09'29.1'';178;https://www.imn.ac.cr/especial/estacionSanGerardo.html
pinilla;10°15'36.3;-85°50'16'';29;https://www.imn.ac.cr/especial/estacionPinilla.html
san mateo;09°55'54'';-84°31'09'';214;https://www.imn.ac.cr/especial/estacionSanMateo.html
san miguiel;10°04'17'';-84°23'58'';1073;https://www.imn.ac.cr/especial/estacionNaranjo.html
san vicente;10°16'47'';-84°23'40'';1431;https://www.imn.ac.cr/especial/estacionSanVicente.html
santa barbara;10°02'00'';-84°09'57'';1070;https://www.imn.ac.cr/especial/estacionSTB.html
santa cecilia;11°04'30.6'';-85°27'12.4'';235;https://www.imn.ac.cr/especial/estacionStacecilia.html
santa elena;10°55'11.9'';-85°36'38.4'';282;https://www.imn.ac.cr/especial/estacionStaElena.html
santa lucia;10°01'22.8'';-84°06'42.3;1257;https://www.imn.ac.cr/especial/estacionsantalucia.html
santa rita;10°01'08'';-85°15'43'';46;https://www.imn.ac.cr/especial/estacionNandayure.html
santa rosa;10°50'28'';-85°37'10'';301;https://www.imn.ac.cr/especial/estacionstarosa.html
potrero cerrado;09°54'8'';-83°53'9'';1943;https://www.imn.ac.cr/especial/estacionPotrero.html
sitio la cruz;10°28'59'';-85°24'51;20;https://www.imn.ac.cr/especial/estacionSitioLaCruz.html
sitio mata;09°52'45'';-83°37'33'';848;https://www.imn.ac.cr/especial/estacionSitiomata.html
sixaola;09°31'39'';-82°38'1'';10;https://www.imn.ac.cr/especial/estacionSixaola.html
turrialba;09°54'36'';-83°40'44'';630;https://www.imn.ac.cr/especial/estacionturri.html
ucr santa cruz;10°17'8'';-85°35'30;41;https://www.imn.ac.cr/especial/estacionStacruz.html
invenio;10°28'35.8'';-85°03'35.2'';321;https://www.imn.ac.cr/especial/estacionInvenio.html
universidad la paz;09°55'13'';-84°16'22'';818;https://www.imn.ac.cr/especial/estacionUPaz.html
upala;10°52'51'';-85°04'21'';60;https://www.imn.ac.cr/especial/estacionupala.html
utn atenas;09°56'8'';-84°22'47.3'';437;https://www.imn.ac.cr/especial/estacionUTN.html
volcan irazu;09°58'48'';-83°50'16.1'';3331;https://www.imn.ac.cr/especial/estacionVirazu.html
volcan tenorio;10°42'56'';-84°59'13'';680;https://www.imn.ac.cr/especial/estacionTenorio.html
volcan turrialba;10°01'09'';-83°45'23'';3343;https://www.imn.ac.cr/especial/estacionVturri.html
radio columbia;09°55'32'';-84°03'32'';1208;https://www.imn.ac.cr/especial/estacionRC.html
